27-05- 2024 13:01:15 - __main__ - INFO - Element 345 gescraped.
27-05- 2024 13:01:15 - __main__ - INFO - Element 346 gescraped.
27-05- 2024 13:01:15 - __main__ - INFO - Element 347 gescraped.
27-05- 2024 13:01:16 - __main__ - INFO - Element 348 gescraped.
27-05- 2024 13:01:16 - __main__ - INFO - Element 349 gescraped.
27-05- 2024 13:01:16 - __main__ - INFO - Element 350 gescraped.
27-05- 2024 13:01:16 - __main__ - INFO - Element 351 gescraped.
27-05- 2024 13:01:16 - __main__ - INFO - Element 352 gescraped.
27-05- 2024 13:01:16 - __main__ - INFO - Element 353 gescraped.
27-05- 2024 13:01:16 - __main__ - INFO - Element 354 gescraped.
27-05- 2024 13:01:16 - __main__ - INFO - Element 355 gescraped.
27-05- 2024 13:01:16 - __main__ - INFO - Element 356 gescraped.
27-05- 2024 13:01:17 - __main__ - INFO - Element 357 gescraped.
27-05- 2024 13:01:17 - __main__ - INFO - Element 358 gescraped.
27-05- 2024 13:01:17 - __main__ - INFO - Element 359 gescraped.
27-05- 2024 13:01:17 - __main__ - INFO - Element 360 gescraped.
27-05- 2024 13:01:17 - __main__ - INFO - Element 361 gescraped.
27-05- 2024 13:01:17 - __main__ - INFO - Element 362 gescraped.
27-05- 2024 13:01:17 - __main__ - INFO - Element 363 gescraped.
27-05- 2024 13:01:17 - __main__ - INFO - Element 364 gescraped.
27-05- 2024 13:01:18 - __main__ - INFO - Element 365 gescraped.
27-05- 2024 13:01:18 - __main__ - INFO - Element 366 gescraped.
27-05- 2024 13:01:18 - __main__ - INFO - Element 367 gescraped.
27-05- 2024 13:01:18 - __main__ - INFO - Element 368 gescraped.
27-05- 2024 13:01:18 - __main__ - INFO - Element 369 gescraped.
27-05- 2024 13:01:18 - __main__ - INFO - Element 370 gescraped.
27-05- 2024 13:01:18 - __main__ - INFO - Element 371 gescraped.
27-05- 2024 13:01:18 - __main__ - INFO - Element 372 gescraped.
27-05- 2024 13:01:18 - __main__ - INFO - Element 373 gescraped.
27-05- 2024 13:01:19 - __main__ - INFO - Element 374 gescraped.
27-05- 2024 13:01:19 - __main__ - INFO - Element 375 gescraped.
27-05- 2024 13:01:19 - __main__ - INFO - Element 376 gescraped.
27-05- 2024 13:01:19 - __main__ - INFO - Element 377 gescraped.
27-05- 2024 13:01:19 - __main__ - INFO - Element 378 gescraped.
27-05- 2024 13:01:19 - __main__ - INFO - Element 379 gescraped.
27-05- 2024 13:01:19 - __main__ - INFO - Element 380 gescraped.
27-05- 2024 13:01:19 - __main__ - INFO - Element 381 gescraped.
27-05- 2024 13:01:19 - __main__ - INFO - Element 382 gescraped.
27-05- 2024 13:01:20 - __main__ - INFO - Element 383 gescraped.
27-05- 2024 13:01:20 - __main__ - INFO - Element 384 gescraped.
27-05- 2024 13:01:20 - __main__ - INFO - Element 385 gescraped.
27-05- 2024 13:01:20 - __main__ - INFO - Element 386 gescraped.
27-05- 2024 13:01:20 - __main__ - INFO - Element 387 gescraped.
27-05- 2024 13:01:20 - __main__ - INFO - Element 388 gescraped.
27-05- 2024 13:01:20 - __main__ - INFO - Element 389 gescraped.
27-05- 2024 13:01:20 - __main__ - INFO - Element 390 gescraped.
27-05- 2024 13:01:20 - __main__ - INFO - Element 391 gescraped.
27-05- 2024 13:01:21 - __main__ - INFO - Element 392 gescraped.
27-05- 2024 13:01:21 - __main__ - INFO - Element 393 gescraped.
27-05- 2024 13:01:21 - __main__ - INFO - Element 394 gescraped.
27-05- 2024 13:01:21 - __main__ - INFO - Element 395 gescraped.
27-05- 2024 13:01:21 - __main__ - INFO - Element 396 gescraped.
27-05- 2024 13:01:21 - __main__ - INFO - Element 397 gescraped.
27-05- 2024 13:01:21 - __main__ - INFO - Element 398 gescraped.
27-05- 2024 13:01:21 - __main__ - INFO - Element 399 gescraped.
